id,name,rating,review_count,address,latitude,longitude,price,categories,is_closed
_xJt1cvBwBO9lqACNij0xA,Sal's Burgers,4.5,213,"3158 Campus Dr, San Mateo, CA 94403",37.53395554440608,-122.3285659,$$,"Burgers, Chicken Wings, Halal",False
oewEx8rwuGFdHV1jwVWk3w,Taki Nori HandRoll Bar,3.9,341,"144 E 3rd Ave, San Mateo, CA 94401",37.56436848421131,-122.323523,$$$,"Sushi Bars, Japanese, Wine Bars",False
ZoS5G4eZUAxlZAJSsedCwA,El Palenque Taqueria,4.3,680,"15 N Kingston St, San Mateo, CA 94401",37.57463,-122.31705,$,"Mexican, Seafood",False
RZqa-7RsRafFwzjIPHVSOQ,Samikcha MoMo,4.6,173,"146 E 3rd Ave, San Mateo, CA 94401",37.564361,-122.3235508,$$,"Himalayan/Nepalese, Indian",False
6AKotai7RdmYpmjtTOit6g,Sapore Express,4.5,176,"125 E 4th Ave, San Mateo, CA 94401",37.56397,-122.32298,$$,"Italian, Pasta Shops",False
Z4MG3VXMSZEgzEn2Y464SA,Prime BBQ,4.6,348,"33 W 25th Ave, San Mateo, CA 94403",37.54368,-122.30661,N/A,"Barbeque, Izakaya, Chinese",False
2dEHiTsd-Qig_JOoY6VbCg,Noma Sushi,4.3,268,"152 South Blvd, San Mateo, CA 94402",37.55447,-122.31117,$$,"Sushi Bars, Japanese",False
qbyncN7gYeKlistTgRf3Pg,La Lanterna Ristorante,4.0,357,"180 W 25th Ave, San Mateo, CA 94403",37.5434782,-122.3088338,$$,Italian,False
txJHFrm0ia0UmvXgyR7lQA,Tokie's,3.9,738,"34 E 4th Ave, San Mateo, CA 94401",37.5625829,-122.3244556,$$,"Japanese, Sushi Bars",False
LUqd6rKpxZdGlFoGuNZfug,The Refuge,4.0,342,"66 31st Ave, San Mateo, CA 94403",37.53799965611948,-122.301903923086,$$,"Burgers, Gastropubs, Venues & Event Spaces",False
hbKPb6t-mX834KdzrEzA_Q,Taste Of Sha Xian,4.3,202,"38 E 4th Ave, San Mateo, CA 94401",37.56264,-122.32438,$$,"Chinese, Noodles",False
Q5-h7WCZYTiIU9bnxRivkQ,Jeffrey's Hamburgers,3.9,803,"42 S B St, San Mateo, CA 94401",37.567113,-122.324335,$$,"Burgers, Salad, Seafood",False
rMweQaGWpOq6BonVRGKO-Q,Swing Shift,4.8,48,"5 S Ellsworth Ave, San Mateo, CA 94401",37.567095,-122.324834,N/A,Comfort Food,False
IjPkG7FqGIi4MxYnRdCH8Q,Izakaya Ginji,3.9,661,"301 E 4th Ave, San Mateo, CA 94401",37.56501,-122.32144,$$,"Izakaya, Japanese Curry",False
YHIza2Jjl5x2Rv91AkZc-w,Maverick Jack's - San Mateo,4.0,1821,"4000 S El Camino Real, San Mateo, CA 94403",37.5321855294466,-122.29191227402676,$$,"Burgers, Salad, Wine Bars",False
40nwAZaLg9sYOgnBmY6Ncg,Kaizen & Coffee,4.7,370,"2337 S El Camino Real, San Mateo, CA 94403",37.54502960306415,-122.3060171,$,"Coffee & Tea, Cafes",False
PViHdOXvsOghJLZ85QjKcQ,PJ's Pizza Co.,4.4,520,"168 W 25th Ave, San Mateo, CA 94403",37.543667,-122.308482,$$,Pizza,False
cA83yiSIoYw-DVsj05YKAA,Truffle Poké Bar,3.9,583,"1234 S El Camino Real, San Mateo, CA 94402",37.5553421276115,-122.317814444444,$$,"Poke, Asian Fusion, Sushi Bars",False
c5koWmVAHCBwLtNxibuhFg,Izakaya Fusion Grill Keitan,4.5,110,"35 E 3rd Ave, San Mateo, CA 94401",37.563667,-122.325512,$$,"Barbeque, Izakaya, Asian Fusion",False
CqspmbphKLqo4RGhGL4WzA,Hummus Mediterranean Kitchen,4.0,743,"150 E 4th Ave, San Mateo, CA 94401",37.5638411,-122.3226888,$$,"Mediterranean, Salad, Halal",False
_rw7VBGHr-ntEIOzN3AoYw,Saffron - Burlingame,4.0,1456,"209 Park Rd, Burlingame, CA 94010",37.5773850521628,-122.345922837769,$$,"Indian, Vegetarian, Wine Bars",False
6ecLCjSOv3tfAvbQ0K33aQ,Flores San Mateo,3.8,272,"4 Hillsdale Mall, San Mateo, CA 94403",37.539242912929225,-122.30074411529324,$$,"Mexican, Breakfast & Brunch, Cocktail Bars",False
wdDF0pc8WtOdG47lWrREkA,Chef Sha - San Mateo,4.3,296,"231 S Ellsworth Ave, San Mateo, CA 94401",37.5654827296621,-122.323286,$$$,"Hot Pot, Chinese, Barbeque",False
p6AM0Dfhugx4S2aDpmyQZg,Mendocino Farms,4.1,547,"1060 Park Pl, San Mateo, CA 94403",37.54472775313801,-122.2914314,$$,"Sandwiches, Salad",False
7kRcr_Tb2Lx7ZLvEfWzjsg,Apple Fritter,4.1,1708,"1901 S Norfolk St, San Mateo, CA 94403",37.55374,-122.29082,$$,"Burgers, Breakfast & Brunch, Coffee & Tea",False
-xeejDCVLsqQAvyP16seqQ,Twelvemonth,4.1,370,"330 Lorton Ave, Burlingame, CA 94010",37.57993478304188,-122.34652545093158,N/A,"Vegan, Beer Bar, Cocktail Bars",False
1Hs55kziQUhcXAqq77YuwQ,Liuyishou Hot Pot,4.0,553,"98 E 3rd Ave, San Mateo, CA 94401",37.56396,-122.32406,$$$,"Hot Pot, Bubble Tea, Taiwanese",False
EF8WoEUdt-qTZ2P-DLYYNQ,New England Lobster Market & Eatery,4.3,5633,"824 Cowan Rd, Burlingame, CA 94010",37.602687,-122.374733,$$,"Seafood Markets, Seafood, Tapas/Small Plates",False
Kd9kVUnhI_f8s67dA9PpvQ,Thonglor Thai Bistro,4.0,140,"173 E 4th Ave, San Mateo, CA 94401",37.56421,-122.32282,$$,Thai,False
dqlvC1kkWjPzMob-QfVwhg,Saltyard,3.9,740,"322 Lorton Ave, Burlingame, CA 94010",37.579656,-122.346257,$$$,"New American, Italian",False
Lr0ThGKRi6BxWCiry3Y4sw,Blue Line Pizza,4.2,1151,"1108 Burlingame Ave, Burlingame, CA 94010",37.5797348,-122.3456497,$$,"Pizza, Salad, Gluten-Free",False
HADjArbetpDyciQnTvswPw,Yakitori Kokko,4.1,1244,"509 2nd Ave, San Mateo, CA 94401",37.568120075232,-122.321434020996,$$$,Japanese,False
vIO6Z_7dzEccMAcR26USjA,Par 3 at Poplar Creek,4.0,197,"1700 Coyote Point Dr, San Mateo, CA 94401",37.58664293,-122.32518394,$$,"New American, Cocktail Bars, Venues & Event Spaces",False
1f4iuVl6-xM_cWfxyNoxyQ,Mingalaba,3.8,2711,"1213 Burlingame Ave, Burlingame, CA 94010",37.578727722168,-122.346389770508,$$,"Burmese, Chinese",False
